##################
# 500 epochs
##################

NeurASP/examples/shortest_path$ python train.py 
Neural Network (MLP) Structure: (40, 50, 50, 50, 50, 50, 24)
Acc:	train	test
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	41.54	39.13
Acc:	37.89	36.65
Acc:	41.07	38.82
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	41.30	39.44
Acc:	32.61	31.37
Acc:	39.44	37.27
Acc:	41.54	39.44
Acc:	36.96	36.65
Acc:	41.30	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	39.05	36.34
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	41.38	39.44
Acc:	30.05	27.02
Acc:	40.76	38.51
Acc:	40.06	38.20
Acc:	41.15	38.82
Acc:	40.76	39.13
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	39.05	36.34
Acc:	40.84	38.51
Acc:	40.99	39.44
Acc:	39.75	37.27
Acc:	40.84	39.13
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	41.23	39.44
Acc:	36.80	36.34
Acc:	38.35	36.65
Acc:	39.44	37.27
Acc:	39.44	37.27
Acc:	39.67	38.20
Acc:	40.37	38.20
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	40.30	38.51
Acc:	41.46	39.44
Acc:	40.99	39.13
Acc:	41.23	39.13
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	39.44	35.40
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.30	39.44
Acc:	41.15	38.82
Acc:	41.46	39.44
Acc:	40.92	39.13
Acc:	41.23	39.44
Acc:	40.99	39.13
Acc:	41.23	39.13
Acc:	41.30	39.44
Acc:	37.89	34.16
Acc:	41.30	39.44
Acc:	21.12	16.46
Acc:	41.30	39.44
Acc:	39.91	38.82
Acc:	41.23	38.82
Acc:	40.14	37.58
Acc:	41.23	39.13
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.07	38.51
Acc:	40.76	38.51
Acc:	41.46	38.82
Acc:	40.99	38.20
Acc:	41.38	38.20
Acc:	41.61	38.51
Acc:	41.15	37.58
Acc:	41.69	39.13
Acc:	39.83	38.51
Acc:	40.92	38.82
Acc:	38.28	36.65
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	38.04	35.40
Acc:	40.84	37.27
Acc:	40.53	38.20
Acc:	36.72	33.23
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
Acc:	41.54	39.44
--- total time from beginning: 1872 seconds ---
Storing the trained model into data/model.pt
acc for plot:
24.84472049689441
37.577639751552795
39.130434782608695
39.130434782608695
35.714285714285715
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
39.130434782608695
34.78260869565217
38.81987577639752
38.81987577639752
39.440993788819874
39.440993788819874
39.440993788819874
39.440993788819874
39.130434782608695
39.130434782608695
39.440993788819874
39.440993788819874
36.64596273291925
39.440993788819874
39.440993788819874
39.440993788819874
39.440993788819874
39.440993788819874
39.440993788819874
39.130434782608695
39.440993788819874
36.64596273291925
39.130434782608695
39.440993788819874
39.440993788819874
39.440993788819874
39.440993788819874
39.130434782608695
39.440993788819874
39.440993788819874
38.19875776397515
39.440993788819874
39.440993788819874
38.19875776397515
39.440993788819874
