####################
# STE (b_p(x)+iSTE)
####################

python main.py --domain shortestPathcnf --reg cross cnf bound --epochs 500 --lr 0.002 --checkAcc --gpu --batchSize 32 --hyper 0.2 1
device is cuda
Neural Network (MLP) Structure: (40, 50, 50, 50, 50, 50, 24)

The CNF is represented by a matrix C of shape torch.Size([68, 40]):
tensor([[-1.,  0.,  0.,  ...,  0.,  0.,  0.],
        [ 0., -1.,  0.,  ...,  0.,  0.,  0.],
        [ 0.,  0., -1.,  ...,  0.,  0.,  0.],
        ...,
        [ 0.,  0.,  0.,  ...,  0.,  0.,  0.],
        [ 0.,  0.,  0.,  ...,  0.,  0.,  0.],
        [ 0.,  0.,  0.,  ...,  0.,  0., -1.]])
69.95	38.51
71.12	37.89
72.98	37.27
69.95	35.71
71.43	35.09
67.93	37.27
71.66	38.20
69.02	36.96
73.06	36.96
69.64	38.82
73.84	36.96
74.69	38.20
74.07	39.75
72.44	38.82
70.42	38.51
72.98	40.37
71.12	37.89
72.67	40.99
73.60	40.37
72.28	39.44
68.09	36.96
73.68	42.86
73.68	40.68
71.20	39.75
70.11	37.58
71.82	38.82
73.45	43.17
72.83	39.13
71.04	38.20
71.89	37.27
74.61	34.16
70.19	36.96
72.05	38.20
72.75	38.82
75.23	40.06
73.21	38.51
72.13	36.34
74.38	38.51
73.68	38.82
73.76	37.27
73.29	39.75
75.78	40.99
67.78	34.78
74.15	40.99
74.53	41.93
75.00	41.93
73.52	40.37
74.61	41.30
72.20	40.06
74.77	38.82
74.77	39.13
70.73	36.34
73.52	37.27
74.07	40.68
74.22	39.44
73.60	39.75
74.53	40.06
76.24	41.61
73.99	37.58
74.30	39.75
74.84	41.30
75.00	39.75
73.84	39.13
73.45	39.13
74.30	36.96
77.10	40.99
74.30	38.51
74.69	35.09
72.75	36.34
73.60	40.68
72.59	36.34
72.59	38.20
74.46	38.51
75.62	39.44
75.39	40.06
73.29	38.20
72.75	39.75
71.35	37.27
75.08	40.06
70.26	38.82
71.74	41.30
74.15	39.75
73.14	39.13
73.84	38.82
71.58	39.44
73.76	40.37
73.60	44.10
76.48	42.24
74.07	40.06
74.15	40.37
73.45	40.37
69.64	37.58
73.06	40.99
74.69	38.51
75.85	39.75
76.94	39.44
72.59	38.20
71.58	36.96
71.89	37.58
71.74	39.13
74.38	40.06
73.84	39.13
72.83	35.71
75.31	39.44
76.32	41.30
75.23	41.61
74.22	40.99
75.62	37.89
76.63	41.30
